FID RT (min),FID Signal,,MS RT (min),MS Signal
0.469992717,3.457333689,,2.115,0.749282292
0.47082605,3.458939567,,2.119,0.744354257
0.471659383,3.456268233,,2.123,0.747082794
0.472492717,3.454095111,,2.126,0.750579524
0.47332605,3.454276678,,2.13,0.748325673
0.474159383,3.457054878,,2.133,0.749557682
0.474992717,3.458947322,,2.137,0.755065485
0.47582605,3.459434478,,2.14,0.75171732
0.476659383,3.459389222,,2.144,0.736114293
0.477492717,3.460637178,,2.148,0.719873521
0.47832605,3.461811133,,2.151,0.72171791
0.479159383,3.462251011,,2.155,0.747803881
0.479992717,3.460956922,,2.158,0.774603693
0.48082605,3.459328089,,2.162,0.777549643
0.481659383,3.456537578,,2.166,0.76326559
0.482492717,3.455269533,,2.169,0.752920341
0.48332605,3.455790978,,2.173,0.75907676
0.484159383,3.456355933,,2.176,0.77620168
0.484992717,3.457124356,,2.18,0.780546323
0.48582605,3.457105689,,2.184,0.762903234
0.486659383,3.4567344,,2.187,0.744604282
0.487492717,3.457354389,,2.191,0.740190792
0.48832605,3.458669356,,2.194,0.743676652
0.489159383,3.4596956,,2.198,0.747140771
0.489992717,3.459357511,,2.201,0.746111681
0.49082605,3.458122089,,2.205,0.738205084
0.491659383,3.459531078,,2.209,0.72924041
0.492492717,3.4600961,,2.212,0.7278236
0.49332605,3.459612278,,2.216,0.734509059
0.494159383,3.459765056,,2.219,0.742839611
0.494992717,3.458951844,,2.223,0.746861757
0.49582605,3.4584152,,2.227,0.744270915
0.496659383,3.4566629,,2.23,0.737570962
0.497492717,3.458021722,,2.234,0.736621591
0.49832605,3.4612559,,2.237,0.744854308
0.499159383,3.462657733,,2.241,0.749543188
0.499992717,3.461823044,,2.245,0.740024109
